coralName,SFXTarget,SFXPublicName,OURTitle,OURLink
"American Mathematical Society Journals",AMERICAN_MATHEMATICAL_SOCIETY,"American Mathematical Society","American Mathematical Society","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=American_Mathematical_Society"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"American Medical Association Backfiles",AMERICAN_MEDICAL_ASSOCIATION_BACKFILES,"American Medical Association Backfiles","American Medical Association","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=American_Medical_Association"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"American Psychological Association - Ebooks",,,,
"American Psychological Association - Psychiatry Online (TAL)",,,,
"American Psychological Association - PsycTherapy",,,,
"American Society of Hematology",HIGHWIRE_PRESS_AMERICAN_SOCIETY_OF_HEMATOLOGY,"Highwire Press American Society of Hematology","American Society of Hematology","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=American_Society_of_Hematology"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"American Statistical Association",AMERICAN_STATISTICAL_ASSOCIATION_PUBLICATIONS,"American Statistical Association Publications","American Statistical Association Publications","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=American_Statistical_Association_Publications"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"ArtStor (UofA)",,,,
"Association for Asian Studies",,,,
"Austlii Journals",AUSTLII_JOURNAL_FREE,"Austlii Journal","Austlii Journals","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Austlii_Journals"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"BDSL (Bibliographie des deutschen Sproch …",LOCAL_BDSL_LCL,BDSL,BDSL,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=BDSL"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Bibliography of Linguisitcs Literature",,,,
"BioMedNet Reviews",,,,
"Bloomsbury Publishing - Churchill Archive (CRKN)",,,Bloomsbury,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Bloomsbury"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Bloomsbury Collections",INGENTA_CONNECT_BLOOMSBURY_JOURNALS,"IngentaConnect Bloomsbury Journals","Bloomsbury Collections","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Bloomsbury_Collections"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Bloomsbury Collections",BLOOMSBURY_COLLECTIONS_AESTHETICS_AND_CULTURAL_THEORY_1999_2012,"Bloomsbury Collections: Aesthetics and Cultural Theory 1999-2012","Bloomsbury Collections","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Bloomsbury_Collections"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Bloomsbury Collections",BLOOMSBURY_COLLECTIONS_ANTHROPOLOGY_2014,"Bloomsbury Collections: Anthropology 2014","Bloomsbury Collections","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Bloomsbury_Collections"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Bloomsbury Collections",BLOOMSBURY_COLLECTIONS_ANTHROPOLOGY_ARCHIVE,"Bloomsbury Collections: Anthropology Archive","Bloomsbury Collections","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Bloomsbury_Collections"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Bloomsbury Collections",BLOOMSBURY_COLLECTIONS_CLASSICAL_STUDIES_AND_ARCHAEOLOGY_2013,"Bloomsbury Collections: Classical Studies & Archaeology 2013","Bloomsbury Collections","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Bloomsbury_Collections"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Bloomsbury Collections",BLOOMSBURY_COLLECTIONS_CLASSICAL_STUDIES_AND_ARCHAEOLOGY_2014,"Bloomsbury Collections: Classical Studies & Archaeology 2014","Bloomsbury Collections","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Bloomsbury_Collections"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Bloomsbury Collections",BLOOMSBURY_COLLECTIONS_EUROPEAN_LAW,BLOOMSBURY_COLLECTIONS_EUROPEAN_LAW,,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Bloomsbury_Collections"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Brepolis - COPPUL",,,,
"Brepolis - UofA",BREPOLS_JOURNALS,"Brepols journals",Brepols,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Brepols"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Brill Journals",BRILLONLINE_JOURNALS,"Brill Online Journals","Brill Journals","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Brill_Journals"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Brill Journals",BRILLONLINE_JOURNALS_ARCHIVE_PART_1,"Brill Online Journals Archive Part 1","Brill Journals","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Brill_Journals"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Brill Journals",BRILLONLINE_JOURNALS_ARCHIVE_PART_2,"Brill Online Journals Archive Part 2","Brill Journals","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Brill_Journals"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
